fileName,objectName,frequency,extension
LRGB.fit,LRG,Blue,fit
LRGB.fit,LRG,Blue,fit
LeoT-B.fit,LeoT-,Blue,fit
Image-00XB.fit,Image-00X,Blue,fit
IC1805-307B.fit,IC1805-307,Blue,fit
IC1805-306B.fit,IC1805-306,Blue,fit
IC1805-305B.fit,IC1805-305,Blue,fit
IC1805-304B.fit,IC1805-304,Blue,fit
IC1805-303B.fit,IC1805-303,Blue,fit
IC1805-302B.fit,IC1805-302,Blue,fit
IC1805-301B.fit,IC1805-301,Blue,fit
Horse-002B.fit,Horse-002,Blue,fit
Horse-001B.fit,Horse-001,Blue,fit
HGB.fit,HG,Blue,fit
Hacombined-RGB.fit,Hacombined-RG,Blue,fit
Group4-LRGB.fit,Group4-LRG,Blue,fit
Group3-B.fit,Group3-,Blue,fit
Group19-B.fit,Group19-,Blue,fit
FS78RGB,FS78RG,Blue,fit
com-RGB.fit,com-RG,Blue,fit
combined-RGB.fit,combined-RG,Blue,fit
combined-LRGB.fit,combined-LRG,Blue,fit
combined-B.fit,combined-,Blue,fit
Cocoon-001B.fit,Cocoon-001,Blue,fit
Cluster-RGB.fit,Cluster-RG,Blue,fit
cluster-B.fit,cluster-,Blue,fit
cluster-010B.fit,cluster-010,Blue,fit
cluster-009B.fit,cluster-009,Blue,fit
cluster-008B.fit,cluster-008,Blue,fit
cluster-007B.fit,cluster-007,Blue,fit
cluster-006B.fit,cluster-006,Blue,fit
cluster-005B.fit,cluster-005,Blue,fit
cluster-004B.fit,cluster-004,Blue,fit
cluster-003B.fit,cluster-003,Blue,fit
CED214-003B.fit,CED214-003,Blue,fit
CED214-002B.fit,CED214-002,Blue,fit
Cave-002B.fit,Cave-002,Blue,fit
Cave-001B.fit,Cave-001,Blue,fit
C-001B.fit,C-001,Blue,fit
Bubble-B.fit,Bubble-,Blue,fit
B1-LRGB.fit,B1-LRG,Blue,fit
B.fit,Unknown,Blue,fit
B.fit,Unknown,Blue,fit
B.fit,Unknown,Blue,fit
B.fit,Unknown,Blue,fit
B.fit,Unknown,Blue,fit
B.fit,Unknown,Blue,fit
B.fit,Unknown,Blue,fit
allLRGB.fit,allLRG,Blue,fit
7023Iris-RGB.fit,7023Iris-RG,Blue,fit
7023Iris-LRGB.fit,7023Iris-LRG,Blue,fit
7023-003B.fit,7023-003,Blue,fit
7023-002B.fit,7023-002,Blue,fit
7023-001B.fit,7023-001,Blue,fit
7000RGB.fit,7000RG,Blue,fit
6543-B.fit,6543-,Blue,fit
6543-003B.fit,6543-003,Blue,fit
6543-002B.fit,6543-002,Blue,fit
6543-001B.fit,6543-001,Blue,fit
600sRGB.fit,600sRG,Blue,fit
405RGB,405RG,Blue,fit
405RGB,405RG,Blue,fit
37cluster-002B.fit,37cluster-002,Blue,fit
37cluster-001-RGB.fit,37cluster-001-RG,Blue,fit
37cluster-001B.fit,37cluster-001,Blue,fit
3718-002B.fit,3718-002,Blue,fit
3718-001B.fit,3718-001,Blue,fit
300-LRGB.fit,300-LRG,Blue,fit
2903RGB.fit,2903RG,Blue,fit
2419-008B.fit,2419-008,Blue,fit
2419-007B.fit,2419-007,Blue,fit
2419-006B.fit,2419-006,Blue,fit
2419-005B.fit,2419-005,Blue,fit
2419-004B.fit,2419-004,Blue,fit
2419-003B.fit,2419-003,Blue,fit
2419-002B.fit,2419-002,Blue,fit
